GAMME,APPRENTISSAGE (  ⭕  ❌ ),DESCRIPTION,NOTES,LIENS
Majeure,⭕,T – T – S – T – T – T – S,1 2 3 4 5 6 7,cf.
Majeure augmentée,⭕,—,1 2 3 4 ♯5 6 7,cf.
Mineur Naturelle,⭕,"Le mode particulier issu de la gamme majeure, l'Éolien !",1 2 ♭3 4 5 ♭6 ♭7,cf.
"
Pentatonique Majeure",⭕,—,1 2 3 5 6,cf.
Pentatonique Mineure,⭕,—,1 ♭3 4 5 ♭7,cf.
Blues,⭕,Ajout de la Blues Note dans la gamme pentatonique mineure entre la 3e et 4e note.,1 ♭3 B 4 5 ♭7,cf.
Harmonique Majeure,⭕,—,1 2 3 4 5 ♭6 7,cf.
Harmonique Mineure,⭕,—,1 2 ♭3 4 5 ♭6 7,cf.
Mineure Mélodique,⭕,—,1 2 ♭3 4 5 6 7,cf.
Napolitain mineur,⭕,"dramatique, classique, jazz",1 ♭2 ♭3 4 5 ♭6 7,cf.
Hongrois mineur,⭕,"tzigane, dramatique, expressive",1 2 ♭3 ♯4 5 ♭6 7,cf.
Augmentée Symétrique,⭕,—,1 – ♯2/♭3 – 3 – 5 – ♯5/♭6 – 7,cf.
Diminuée(2POS),⭕,—,T – T – S – T – T – T – S,cf.
Chromatique(1POS),⭕,—,—,cf.